forecast_hour,timestamp,predicted_PM2.5,predicted_PM10,temperature,humidity,wind_speed,pressure,rainfall,aqi_category,alert_level
1,2026-09-24 11:00:00,30.3,72.36,26.11,57.73,3.08,1012.19,0.0,Satisfactory / Moderate,Moderate
2,2026-09-24 12:00:00,24.76,58.68,27.15,56.49,3.29,1012.17,0.0,Good,Low Risk
3,2026-09-24 13:00:00,12.98,35.63,27.94,55.53,3.5,1012.19,0.0,Good,Low Risk
4,2026-09-24 14:00:00,10.8,32.9,28.44,54.93,3.69,1012.24,0.0,Good,Low Risk
5,2026-09-24 15:00:00,10.19,31.15,28.61,54.73,3.86,1012.32,0.0,Good,Low Risk
6,2026-09-24 16:00:00,10.39,31.35,28.44,54.93,3.98,1012.42,0.0,Good,Low Risk
7,2026-09-24 17:00:00,10.58,31.24,27.94,55.53,4.06,1012.54,0.0,Good,Low Risk
8,2026-09-24 18:00:00,17.48,45.27,27.15,56.49,4.09,1012.67,0.0,Good,Low Risk
9,2026-09-24 19:00:00,21.63,52.78,26.11,57.73,4.06,1012.8,0.0,Good,Low Risk
10,2026-09-24 20:00:00,44.94,103.85,24.9,59.18,3.98,1012.92,0.0,Satisfactory / Moderate,Moderate
11,2026-09-24 21:00:00,52.55,116.64,23.61,60.73,3.86,1013.02,0.0,Satisfactory / Moderate,Moderate
12,2026-09-24 22:00:00,53.48,115.62,22.32,62.28,3.69,1013.1,0.0,Satisfactory / Moderate,Moderate
13,2026-09-24 23:00:00,55.7,114.71,21.11,63.73,3.5,1013.15,0.0,Satisfactory / Moderate,Moderate
14,2026-09-25 00:00:00,32.1,74.03,20.07,64.97,3.29,1013.17,0.0,Satisfactory / Moderate,Moderate
15,2026-09-25 01:00:00,30.04,68.81,19.28,65.93,3.08,1013.15,0.0,Satisfactory / Moderate,Moderate
16,2026-09-25 02:00:00,15.61,41.4,18.78,66.53,2.89,1013.1,0.0,Good,Low Risk
17,2026-09-25 03:00:00,15.09,39.26,18.61,66.73,2.72,1013.02,0.0,Good,Low Risk
18,2026-09-25 04:00:00,14.9,37.73,18.78,66.53,2.6,1012.92,0.0,Good,Low Risk
19,2026-09-25 05:00:00,15.18,38.42,19.28,65.93,2.52,1012.8,0.0,Good,Low Risk
20,2026-09-25 06:00:00,15.04,38.88,20.07,64.97,2.49,1012.67,0.0,Good,Low Risk
21,2026-09-25 07:00:00,17.02,42.03,21.11,63.73,2.52,1012.54,0.0,Good,Low Risk
22,2026-09-25 08:00:00,34.49,74.44,22.32,62.28,2.6,1012.42,0.0,Satisfactory / Moderate,Moderate
23,2026-09-25 09:00:00,55.69,114.84,23.61,60.73,2.72,1012.32,0.0,Satisfactory / Moderate,Moderate
24,2026-09-25 10:00:00,58.84,119.77,24.9,59.18,2.89,1012.24,0.0,Satisfactory / Moderate,Moderate
